775
qstr_Next_Page Next_Page
qstr_Only_you_know_exactly Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._All_you_can_say_is_that_you_couldn't_bear_to_stay,_not_with_the_memories_of_those_you_loved_so_close_and_so_painful._Perhaps_your_new_life_will_let_you_forget,_or_honour_the_name_that_you_can_no_longer_bear_to_speak...
qstr_Only_you_know_exactly_ Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._You're_not_even_sure_when_your_home_became_a_prison,_when_the_familiar_became_mundane,_but_your_dreams_of_wandering_have_taken_over_your_life._Whether_you_yearn_for_some_faraway_place_or_merely_for_the_open_road_and_the_freedom_to_travel,_you_could_no_longer_bear_to_stay_in_the_same_place._You_simply_went_and_never_looked_back...
qstr_Only_you_know_exactly_w Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._However,_you_know_you_cannot_go_back._There's_nothing_to_go_back_to._Whatever_home_you_may_have_had_is_gone_now,_and_you_must_face_the_fact_that_you're_out_in_the_wide_wide_world._Alone_to_sink_or_swim...
qstr_Only_you_know_exactly_wh Only_you_know_exactly_what_caused_you_to_give_up_your_old_life_and_become_an_adventurer._To_everyone_else,_it's_clear_that_you're_now_motivated_solely_by_personal_gain._You_want_to_be_rich,_powerful,_respected,_feared._You_want_to_be_the_one_whom_others_hurry_to_obey._You_want_people_to_know_your_name,_and_tremble_whenever_it_is_spoken._You_want_everything,_and_you_won't_let_anyone_stop_you_from_having_it...
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr___ _-
qstr__+ _+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_Current_party_morale Current_party_morale_is_{reg5}.^Current_party_morale_modifiers_are:^^Base_morale:__+50^Party_size:_{s2}{reg1}^Leadership:_{s3}{reg2}^Food_variety:_{s4}{reg3}{s5}{s6}^Recent_events:_{s7}{reg4}^TOTAL:__{reg5}
qstr_Defending Defending
qstr_Gathering_army Gathering_army
qstr_Besieging_{s11} Besieging_{s11}
qstr_Raiding_{s11} Raiding_{s11}
qstr_Attacking_enemies_ar Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{s9}{s10}^Current_st {s9}{s10}^Current_state:_{s11}^Marshall:_{s12}^Since_the_last_offensive:_{reg1}_hours^Offensive_maximum_followers:_{reg2}^^
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{s5}_{s6} {s5},_{s6}
qstr_Renown:_{reg2}.^Hono Renown:_{reg2}.^Honour_rating:_{reg3}.^Friends:_{s8}.^Enemies:_{s6}.^{s9}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_You_are_a_lord_of_{s You_are_a_lord_of_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+{reg4}^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{s2}^{s4}:_{reg1}__{ {s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_V_{s10}_stroitsya_{s V_{s10}_stroitsya_{s11}._ostalos_{reg4}_=_{reg5}
qstr_V_{s10}_postroeno_{s V_{s10}_postroeno_{s11}
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_You_have_changed_you You_have_changed_your_caravan_troops_to_The_Polish_Commonwealth.
qstr_You_have_changed_your You_have_changed_your_caravan_troops_to_The_Muscovite_Tsardom.
qstr_You_have_changed_your_ You_have_changed_your_caravan_troops_to_The_Crimean_Khanate.
qstr_You_have_changed_your_c You_have_changed_your_caravan_troops_to_The_Kingdom_of_Sweden.
qstr_You_have_changed_your_ca You_have_changed_your_caravan_troops_to_The_Cossack_Hetmanate.
qstr_You_have_changed_your_car You_have_changed_your_caravan_troops_to_mercenaries.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_You_paid_{reg3}_of_y You_paid_{reg3}_of_your_{reg4}_denars_to_your_men._You_have_{reg5}_denars_left.
qstr_Your_debt_to_your_me Your_debt_to_your_men_amounted_to_{reg3}_denars,_however_you_only_had_{reg4}._Unpaid_sum_of_{reg5}_denars_is_added_as_debt._Your_party_loses_morale.
qstr_This_week_s_wages:_{ This_week's_wages:_{reg6}_denars^Earlier_debts:_{reg2}_denars^Total_payment:_{reg3}_denars^Current_wealth:_{reg4}_denars^^{s1}
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_Armiya_protivnika_po Armiya_protivnika_postroila_lager_(wagenburg).
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_You_were_victorious! You_were_victorious!
qstr_Battle_was_lost._You Battle_was_lost._Your_forces_were_utterly_crushed.
qstr_Your_companions_carr Your_companions_carry_you_away_from_the_fighting.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{s17} {s17}
qstr__V_gorode_ostalos_{r _V_gorode_ostalos_{reg0}_vragov,_zahvachenih_v_plen._Chto_vi_hotite_sdelat?
qstr__V_gorode_ostalos_{re _V_gorode_ostalos_{reg0}_osvobozhdennih_plennikov._Zhelaete_naznachit_ih_v_garnizon_zahvachenogo_goroda?
qstr_Victory_comment._Pla Victory_comment._Player_was_alone
qstr_Ordinary_victory_com Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_Player_participation Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_No_victory_comment._ No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._Your_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_Player_retreats_from Player_retreats_from_battle
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__Your_own_banner_fli _Your_own_banner_flies_over_the_castle_gate.
qstr__You_see_the_banner_ _You_see_the_banner_of_{s7}_over_the_castle_gate.
qstr__This_castle_seems_t _This_castle_seems_to_belong_to_no_one.
qstr__Your_own_banner_flie _Your_own_banner_flies_over_the_town_gates.
qstr__You_see_the_banner_o _You_see_the_banner_of_{s7}_over_the_town_gates.
qstr__The_townsfolk_here_ _The_townsfolk_here_have_declared_their_independence.
qstr_Zapasov_edi_v_{reg6? Zapasov_edi_v_{reg6?gorode:zamke}_hvatit_esche_{reg3}_dney.
qstr_Zapasov_edi_v_{reg6?g Zapasov_edi_v_{reg6?gorode:zamke}_zakonchilis_i_zaschitniki_golodayut.
qstr_Vi_stroite_lestnici_ Vi_stroite_lestnici_dly_shturma._Do_konca_robot_ostalos_{reg9}_chasov.
qstr_Prokladka_podkopa_dl Prokladka_podkopa_dlya_razmescheniya_minu_zavershitsya_cherez_{reg9}_chasov.
qstr_Postroika_lestnic_za Postroika_lestnic_zavershena._Vi_mozhete_nachat_ataku_v_luboe_vremya.
qstr_Postroika_podkopa_za Postroika_podkopa_zavershena._Vi_mozhete_vzorvat_minu_i_nachat_ataku_v_luboe_vremya.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_castle_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr__kriticheskie _kriticheskie
qstr__ogromnie _ogromnie
qstr__visokie _visokie
qstr_However_since_you_ar However,_since_you_are_not_a_sworn_{man/follower}_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_{lord/lady}_of_this_{reg8?town:castle}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr__This_village_and_th _This_village_and_the_surrounding_lands_belong_to_you.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_belong_to_{s7}.
qstr__These_lands_belong_ _These_lands_belong_to_no_one.
qstr__{s3}__{reg9}_. _{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_peasants,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_village village
qstr_town town
qstr_castle castle
qstr_{s18}_{s0} {s18},_{s0}
qstr_The_{s17}_has_no_imp The_{s17}_has_no_improvements.
qstr_The_{s17}_has_the_fo The_{s17}_has_the_following_improvements:{s18}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_OiM_Teper_luchshe_{s OiM_Teper_luchshe_{s9}_na_glaza_ne_popadat
qstr_OiM_Potop_Loshad_tep OiM_Potop_Loshad_teper_u_menya_pora_idti_k_kshetuskomu
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr___{reg1}_denars_per_ _({reg1}_denars_per_night)
qstr_Moreover_you_earn_{r Moreover,_you_earn_{reg8}_denars_from_the_clever_bets_you_placed_on_yourself...
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{s11}^{s12} {s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_peasants_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_peasants_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_peasants_and_their_new_champion.
qstr_{s1}_s_Ship {s1}'s_Ship
qstr_^{s3}_=_{reg1}{s1} ^{s3}_=_{reg1}{s1}
qstr_^{s3}_=_{reg1}{s2} ^{s3}_=_{reg1}{s2}
qstr_However_{reg3?You_ar However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_denars_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr__Continue.... _Continue....
qstr__Ne_hvataet_money_nu _Ne_hvataet_money,_nuzhno_{reg8}_dinarov
qstr__Back _Back
qstr__Stoimost_{reg8}_din _Stoimost_{reg8}_dinarov
qstr__Continue _Continue
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr_you you
qstr_OiM_You_ve_failed_to OiM_You_ve_failed_to_protect_the_village
qstr_OiM_You_ve_protected OiM_You_ve_protected_the_village
qstr_OiM_You_ve_failed_to_ OiM_You_ve_failed_to_protect_your_horse
qstr_OiM_You_ve_protected_ OiM_You_ve_protected_the_horse
qstr_OiM_Da_takoe_bivaet_ OiM_Da_takoe_bivaet_raz_v_zhizni
qstr_OiM_Potop_Pani_osvob OiM_Potop_Pani_osvobozhdena._Pora_idti_k_volodievskomu
qstr_OiM_Potop_kshetuskiy OiM_Potop_kshetuskiy_Probracco_v_konushnyu
qstr_OiM_You_ve_failed_to_w OiM_You_ve_failed_to_win_battle
qstr_OiM_You_ve_got_the_h OiM_You_ve_got_the_horse._Pora_idti_otdavat_konya
qstr_Kozaki_podnyali_na_n Kozaki_podnyali_na_nogi_strazhu!
qstr_OIM_getman_heroe_can OIM_getman_heroe_can_read_book
qstr_OIM_getman_heroe_nee OIM_getman_heroe_need_help_to_read_book
qstr_OIM_add__pora_nayti_ OIM_add__pora_nayti_grobnicu_radzivillow
qstr_OiM_You_ve_failed_to_wi OiM_You_ve_failed_to_win_the_king
qstr_OiM_You_ve_wing_the_ OiM_You_ve_wing_the_king
qstr_OIM_add_getman__Da_z OIM_add_getman__Da_zanyatnaya_knizheca
qstr_OIM_add_getman__Knig OIM_add_getman__Knigu_bez_tolmacha_ne_perevesti._Pora_iskat_kto_smozhet_eto_sdelat
qstr_OIM_add_getman__Prik OIM_add_getman__Prikaz_Hmelya_-_zavoevat_RP
qstr_OIM_add_getman__Nuzh OIM_add_getman__Nuzhno_vstretitsya_s_getmanom_-_obgovorit_politiku...
qstr_OiM_dmitriy_Teper_ko OiM_dmitriy_Teper_kogda_vibralsya_iz_turmi_i_vse_kto_videl_samozvanca_mertvi_krome_carya_nuzhno_sprosit_kogo_libo_chto_tovoricco...
qstr_OIM_add_getman__Prika OIM_add_getman__Prikaz_Barabasha_-_zavoevat_MC
qstr_OIM_add_getman__Bunt OIM_add_getman__Bunt_podavlen_-_pora_pogovorit_s_Barabashem...
qstr_you_we_lost_the_figh you_we_lost_the_fight._And_all_the_bet_{reg0}
qstr_you_won_the_fight._A you_won_the_fight._And_all_the_bet_{reg0}._Even_more_-_you_ve_learned_some_new_tricks.
qstr_you_we_lost_the_fight you_we_lost_the_fight._And_got_wounds
qstr_you_won_the_fight._An you_won_the_fight._And_some_new_tricks.
qstr_You_ve_got_wound.._I You_ve_got_wound.._It's_better_to_have_a_rest
qstr_oim_the_duel_is_over oim_the_duel_is_over._There_is_draw
qstr_oim_the_duel_is_over. oim_the_duel_is_over._You_lost_the_battle
qstr_oim_the_duel_is_over._ oim_the_duel_is_over._You_win
qstr_You_sought_that_the_ You_sought_that_the_visitor_is_alone
qstr_There_is_gourds._It_ There_is_gourds._It's_better_to_return_to_the_tavern...
qstr_You_lost_the_fight._ You_lost_the_fight._And_gourds_taken_you_as_an_prisoner...
qstr_The_man_is_dead..._Y The_man_is_dead..._You_found_only_a_small_sum_of_money_and_his_weapon...
qstr_you_were_killed_as_c you_were_killed_as_crimer
qstr_Nu_vow_vostaniye_zak Nu_vow_vostaniye_zakoncheno._Pora_pogovorit_s_razinim
qstr_Razin_now_is_the_mar Razin_now_is_the_marshal
qstr_OiM_text_for_main_qs OiM_text_for_main_qst_talk_to_king_shtirlic
qstr_Viberite_nuzhnuyu_va Viberite_nuzhnuyu_vam_uslugu
qstr_Na_daniy_moment_eto_ Na_daniy_moment_eto_poseleniye_ne_predostavlyaet_dopolnitelnih_vozmozhnostey
qstr_V_vashem_otryade_net V_vashem_otryade_netu_kompanionov.
qstr_V_vashem_otryade_ime V_vashem_otryade_imeyutsya_companioni,_kotorih_mozhno_obuchit
qstr_Prosmotret_spisok_go Prosmotret_spisok_gorodov,_gde_vi_imeete_pomoschnikov_i_kotoriye_ne_v_osade
qstr_U_vas_net_gorodov_gd U_vas_net_gorodov,_gde_vi_imeete_pomoschnikov_i_kotoriye_ne_v_osade
qstr_Vam_nuzhno_poslat_go Vam_nuzhno_poslat_gonca_i_vibrat_diplomaticheskuyu_stolicu.
qstr_Vibor_stolici_proshe Vibor_stolici_proshel_uspeshno.
qstr_Vam_nuzhno_vibrat_di Vam_nuzhno_vibrat_diplomaticheskuyu_stolicu,_no_v_vashey_frakcii_seychas_net_gorodov.
qstr_{s5} {s5}
qstr_{s6}_^{s5} {s6}_^{s5}
qstr_{s7} {s7}
qstr_{s8}_^{s7} {s8}_^{s7}
qstr_Breaking_camp... Breaking_camp...
qstr_{!}{s3}_commander_of {!}{s3}_commander_of_party_#{reg4}_which_is_not_his_troop_leaded_party_{reg5}
qstr_{s65} {s65}
qstr_Current_wealth:_{reg Current_wealth:_{reg1}
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity.
qstr_Building_of_{s0}_in_ Building_of_{s0}_in_{s4}_has_been_completed.
qstr_{!}{s1}_is_infested_ {!}{s1}_is_infested_by_bandits_(at_night).
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_(at_night).
qstr_You_pay_for_accommod You_pay_for_accommodation.
qstr__Your_tactics_skill_ _Your_tactics_skill_has_increased_by_1.
qstr__Your_persuasion_ski _Your_persuasion_skill_has_increased_by_1.
qstr__Your_leadership_ski _Your_leadership_skill_has_increased_by_1.
qstr__Your_intelligence_h _Your_intelligence_has_increased_by_1.
qstr__Your_trade_skill_ha _Your_trade_skill_has_increased_by_1.
qstr__Your_weapon_master_ _Your_weapon_master_skill_has_increased_by_1.
qstr__Your_engineer_skill _Your_engineer_skill_has_increased_by_1.
qstr_You_have_finished_re You_have_finished_reading_{s1}.{s2}
qstr_Book_Read Book_Read
qstr_You_must_follow_{s1} You_must_follow_{s1}!
qstr_You_must_follow_{s1}! You_must_follow_{s1}!_This_is_your_last_warning!
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{s1}_has_switched_fr {s1}_has_switched_from_{s2}_to_{s3}.
qstr_{s4}_is_in_{s5} {s4}_is_in_{s5}
qstr_OiM_Ne_uspeli_otoyti OiM_Ne_uspeli_otoyti_ot_kazakov_kak_plennik_4to-to_shumniy_stal_o4en
qstr_OiM_add_{s2}_joined_ OiM_add_{s2}_joined_the_rebellion_of_Zagloba
qstr_{s5}^_{s1} {s5}^_{s1}
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_{s14}.
qstr_{s6}_has_joined_your_ {s6}_has_joined_your_party.
qstr_{reg65?my_Lady:my_Lo {reg65?my_Lady:my_Lord}
qstr_{reg65?My_Lady:My_Lo {reg65?My_Lady:My_Lord}
qstr_{reg65?madame:sir} {reg65?madame:sir}
qstr_{reg65?Madame:Sir} {reg65?Madame:Sir}
qstr_Viberite_variant. Viberite_variant.
qstr_Seychas_vse_dostupni Seychas_vse_dostupniye_oficeri_zanyati_obucheniem_novobrancev.
qstr_U_vas_nedostatochno_ U_vas_nedostatochno_deneg_dazhe_na_odnogo_voina,_nuzhno_hotyabi_{reg0}_tallerov
qstr_Vot_vse_chto_dostupn Vot_vse_chto_dostupno_za_zoloto,_kotoroe_u_vas_est
qstr_Vot_chto_vam_seychas Vot_chto_vam_seychas_dostupno,_zakazivayte.
qstr_Na_daniy_moment_net_ Na_daniy_moment_net_dostupnih_vam_elementov.
qstr_Ya_seychas_zaynuat_p Ya_seychas_zaynuat_prediduschim_vashim_prikazom_otnositelno_{s1}._Zakonchu_cherez_{reg2}_{reg1?dney:chasov}
qstr_Viberite_zhelayumiy_ Viberite_zhelayumiy_element
qstr_Zdes_esche_net_{s1}. Zdes_esche_net_{s1}.
qstr_Zdes_uzhe_est_{s1}. Zdes_uzhe_est_{s1}.
qstr_{reg0?Naynyat:Postro {reg0?Naynyat:Postroit}
qstr_U_vas_zdes_uzhe_post U_vas_zdes_uzhe_postroeni_sleduyuzhiye_zdaniya:^
qstr_Zdes_k_tebe_loyalni_ Zdes_k_tebe_loyalni_takie_ludi:^
qstr_U_vas_nichego_esche_ U_vas_nichego_esche_netu.
qstr_It_s_your_money_or_y It's_your_money_or_your_life,_{mate/girlie}._No_sudden_moves_or_we'll_run_you_through.
qstr_Lucky_for_you_you_ca Lucky_for_you,_you_caught_me_in_a_good_mood._Give_us_all_your_coin_and_I_might_just_let_you_live.
qstr_This_a_robbery_eh?_I This_a_robbery,_eh?_I_givin'_you_one_chance_to_hand_over_everythin'_you_got,_or_me_and_my_mates'll_kill_you._Understand?
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_suceeded_in_ we_have_suceeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr_Yes_{s5}? Yes,_{s5}?
qstr__no_fiefs_ (no_fiefs)
qstr__fiefs:_{s0}_ (fiefs:_{s0})
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause._But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope._But_with_God's_help,_we_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}._There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those._And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr_I_am_{s4}_the_ruler_ I_am_{s4},_the_ruler_of_{s6}
qstr_I_am_{s4}_a_vassal_o I_am_{s4},_a_vassal_of_{s6}
qstr_{s9}{reg5?_and_the_l {s9}{reg5?_and_the_lord_of_{s8}.:.
qstr_Your_mission_is_comp Your_mission_is_complete,_{s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{s13}_asked_you_to_g {s13}_asked_you_to_gather_{reg3}_heads_of_cattle_and_deliver_them_back_to_him.
qstr_{s9}_asked_you_to_sc {s9}_asked_you_to_scout_{s13},_{s14}_and_{s15},_then_report_back.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{s16}_{s17} {s16},_{s17}
qstr_Very_well_I_will_acc Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us,_I_am_not_interested.
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_village_of_{s15}_and_then_report_back_to_him.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_collect_taxes_from_{s3}._He_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_at_{s3}.
